id,type,text,simplicity,uptodateness
334,cand_a,A medical emergency is a current injury or illness that may become dangerous to a person's life or long-term health.,4,4
334,cand_b,A medical emergency is a sudden injury or illness that puts a person's life or long-term health at immediate risk.,4,5
308,original,For example she frequently sings traditional songs with a piano accompaniment .,,
308,cand_a,She frequently sings traditional songs with a piano accompaniment .,3,4
308,cand_b,"For example, she often sings traditional songs with piano accompaniment.",3,3
358,original,Prometheus acts as a shepherd satellite for the inner edge of Saturn 's F Ring .,,
358,cand_a,Prometheus acts as a shepherd satellite for the inner edge of Saturn's F Ring.,3,3
358,cand_b,Prometheus helps keep the inner edge of Saturn's F Ring in place like a shepherd satellite.,4,4
567,original,Males can weigh more than 20 kg and attain a head-body length of 90 cm .,,
567,cand_a,Males can weight more than 20 kg and attain a head-body length of 90 cm.,3,3
567,cand_b,Males can weigh over 20 kg and have a head-to-body length of 90 cm.,4,3
588,original,"The Administrators of the Northern Territory and Norfolk Island are , by contrast , appointed by the Governor-General .",,
588,cand_a,"The Administrators of the Northern Territory and Norfolk Island are, by contrast, appointed by the Governor-General.",3,3
588,cand_b,"In contrast, the Governor-General appoints the Administrators of the Northern Territory and Norfolk Island.",4,5
356,original,"Heaven 's Gate was an American UFO cult based in San Diego , California and led by Marshall Applewhite ( 1931-1997 ) and Bonnie Nettles ( 1927-1985 ) .",,
356,cand_a,"Heaven's Gate was an American UFO cult in San Diego, California. It was led by Marshall Applewhite and Bonnie Nettles.",4,3
356,cand_b,"Heaven's Gate was an American UFO cult in San Diego, California, led by Marshall Applewhite (1931-1997) and Bonnie Nettles (1927-1985).",4,5
12,original,Two tubes of amphetamines and a further empty tube were found in the rear pocket of his racing jersey .,,
12,cand_a,Two tubes of amphetamines and an empty tube were found in his rear pocket of his racing jersey.,4,4
12,cand_b,Two tubes of amphetamines and another empty tube were found in the back pocket of his racing jersey.,5,4
140,original,"Armand Jean du Plessis de Richelieu , Cardinal-Duc de Richelieu ( 9 September 1585 – 4 December 1642 ) , was a French clergyman , noble , and statesman .",,
140,cand_a,"Cardinal-Duc de Richelieu was a French clergyman, noble and statesman.",3,4
140,cand_b,"Armand Jean du Plessis de Richelieu, the Cardinal-Duke of Richelieu (9 September 1585 – 4 December 1642), was a French priest, nobleman, and politician.",3,2
1,original,Order # 56 / CMLN of 20 October 1973 prescribed the coat of arms of the Republic of Mali .,,
1,cand_a,Order # 56 / CMLN of 20 October 1973 prescribed Mali's coat of arms.,3,3
1,cand_b,Order No. 56/CMLN of 20 October 1973 set the coat of arms of the Republic of Mali.,4,4
355,original,"He traveled over 200,000 miles , an incredible achievement for pre-aviation times .",,
355,cand_a,"He traveled over 200,000 miles which was a great feat in the pre-aviation era.",2,2
355,cand_b,"He traveled over 200,000 miles, which was amazing before airplanes existed.",4,4
504,original,"The wolf in bottom stands for the former administrative seat Pritzwalk , as walk derives from the slavonic wolk meaning wolf .",,
504,cand_a,"The wolf in bottom stands for the prior administrative seat Pritzwalk, as walk derives from the Slavonic wolk meaning wolf.",3,3
504,cand_b,"The wolf at the bottom represents the former administrative center Pritzwalk, because “walk” comes from the Slavic word “wolk,” meaning wolf.",5,5
495,original,"Name In Chinese , the region is known as "" Inner Mongolia "" , where the terms of "" Inner / Outer "" are derived from Manchu dorgi / tulergi .",,
495,cand_a,Inner Mongolia is a region where the terms inner and outer come from the Manchu dorgi/tulergi.,4,4
495,cand_b,"In Chinese, the region is called ""Inner Mongolia,"" and the words ""Inner"" and ""Outer"" come from the Manchu terms dorgi and tulergi.",4,5
228,original,"By early the next day , the remnants of Gabrielle were absorbed by an approaching cold front .",,
228,cand_a,"By morning of the next day, the remains of Gabrielle were absorbed by an approaching cold front.",4,3
228,cand_b,"By early the next day, what was left of Gabrielle was absorbed by an approaching cold front.",3,3
5,original,"It consisted of the American , British , and French occupation sectors established in 1945 .",,
5,cand_a,"1. It consisted of the American , British , and French occupation sectors created in 1945 .",3,3
5,cand_b,"It included the American, British, and French occupation areas set up in 1945.",4,3
447,original,"It consists of the Royal Australian Navy , the Australian Army , the Royal Australian Air Force and a number of ' tri-service ' units .",,
447,cand_a,"It is made up of the Royal Australian Navy , the Australian Army , the Royal Australian Air Force, and some ' tri-service' units.",3,3
447,cand_b,"It includes the Royal Australian Navy, the Australian Army, the Royal Australian Air Force, and several units shared by all three services.",4,3
207,original,The storm dropped heavy rainfall near its immediate landfall location but little precipitation elsewhere .,,
207,cand_a,Due to storm there is a heavy rainfall near the immediate landfall location and elsewhere it is little precipitation,2,2
207,cand_b,The storm brought heavy rain near where it hit land but little rain elsewhere.,5,4
493,original,The White Sox play in the American League 's Central Division .,,
493,cand_a,The White Sox play in the American League's Central Division .,3,3
493,cand_b,The White Sox play in the American League's Central Division.,3,3
283,original,Levon V Lusignan of Armenia is imprisoned for several years in Cairo until a ransom is paid by King John I of Castile .,,
283,cand_a,Levon V Lusignan of Armenia is put into jail for many years in Cairo until a ransom ( amount paid for the release of a prisoner ) is paid by King John I of Castile .,2,3
283,cand_b,Levon V Lusignan of Armenia is held in prison in Cairo for several years until King John I of Castile pays a ransom.,4,4
440,original,A cream background indicates an event which was part of the pre-war European Championship .,,
440,cand_a,A cream background indicates an event . It is part of the pre-war European Championship .,4,3
440,cand_b,A cream background shows an event that was part of the pre-war European Championship.,4,3
419,original,Its elongation led to the suggestion that Eunomia may be a binary object .,,
419,cand_a,"Its elongation guided to the suggestion that Eunomia , it may be a binary object .",2,3
419,cand_b,"Because it looked stretched out, people suggested that Eunomia might be a binary object.",5,4
490,original,M is the thirteenth letter of the basic modern Latin alphabet .,,
490,cand_a,The thireenth letter of the modern Latin Alphabet is M.,3,3
490,cand_b,M is the 13th letter of the modern Latin alphabet.,4,4
117,original,"It is sometimes recommended to combat diarrhea , since it is high in pectin .",,
117,cand_a,It is recommended to combat diarrehea because it is high in pectin.,3,3
117,cand_b,It is sometimes recommended to treat diarrhea because it is high in pectin.,4,4
303,original,"Adam Smith , a graduate student of the college , is perhaps its best known alumnus .",,
303,cand_a,"Adam Smith , a person with a degree learner of the college , is perhaps its best certain school-learners .",1,2
303,cand_b,"Adam Smith, a graduate student at the college, is probably its most well-known alumnus.",4,4
6,original,"Recuperating for months in a wheelchair , she continued singing to help pay her medical bills .",,
6,cand_a,"Healing for months in a wheelchair, she continued singing to help pay her medical bills.",3,3
6,cand_b,"While recovering for months in a wheelchair, she kept singing to help pay her medical bills.",4,4
110,original,"A punt is a flat-bottomed boat with a square-cut bow , designed for use in small rivers or other shallow water .",,
110,cand_a,A punt is a type of boat with a flat bottom and a square-cut bow that is designed to be used in small rivers and other bodies of water that are not deep.,2,3
110,cand_b,"A punt is a flat-bottomed boat with a square front, made for use in small rivers or other shallow water.",4,4
29,original,"Brig is an administrative district in the canton of Valais , Switzerland .",,
29,cand_a,"Brig is an administrative district in the canton of Valais , Switzerland.",3,3
29,cand_b,Brig is an administrative district in the Valais canton of Switzerland.,3,3
119,original,"Assuming good faith does not prohibit discussion and criticism , but instead editors should not attribute the actions being criticized to malice unless there is specific evidence of malice .",,
119,cand_a,Good faith does not prohibit discussion and criticism: editors should not think that criticism is mean unless there is real proof of malice .,4,4
119,cand_b,"Assuming good faith does not stop discussion and criticism, but editors should not say the actions being criticized were done out of malice unless there is clear evidence of malice.",4,4
576,original,"Kevin Ferguson ( born February 8 , 1974 ) , better known as Kimbo Slice , is a Bahamian-American mixed-martial arts fighter .",,
576,cand_a,"Kevin Ferguson, mixed-martial arts fighter is a Bahamian-American and better known as Kimbo Slice",2,2
576,cand_b,"Kevin Ferguson, born February 8, 1974, is a Bahamian-American mixed martial arts fighter best known as Kimbo Slice.",4,4
131,original,"The following year , the title returned to Raw after reigning champion Triple H was drafted back to the brand during the 2009 WWE Draft .",,
131,cand_a,"The next year, the title returned to Raw after reigning champion Triple H was brought back to the brand during the 2009 WWE Draft.",3,3
131,cand_b,"The next year, the title returned to Raw after the champion, Triple H, was drafted back to the brand in the 2009 WWE Draft.",4,4
498,original,"Established in 1892/93 , the Sheffield Shield is the premier domestic first class cricket competition in Australia .",,
498,cand_a,"Started in 1892/93 , the Sheffield Shield is the best local first class cricket contest in Australia .",3,3
498,cand_b,"Started in 1892/93, the Sheffield Shield is Australia’s top domestic first-class cricket competition.",4,4
583,original,"Franklin Delano Roosevelt ( January 30 , 1882 – April 12 , 1945 ) , often referred to by his initials FDR , was the 32nd President of the United States .",,
583,cand_a,"Franklin Delano Roosevelt,often like to kiss.",1,1
583,cand_b,"Franklin Delano Roosevelt (January 30, 1882 – April 12, 1945), often called FDR, was the 32nd President of the United States.",4,4
47,original,"These books follow the fortunes of Tamara and William Swift , who first appeared in the BBC computer animated web movie Ghosts of Albion : Legacy .",,
47,cand_a,"These books follow the journey of Tamara and William Swift, who ffirst was on the BBC Computer web movie Ghosts of Albion: Legacy.",2,2
47,cand_b,"These books tell the story of Tamara and William Swift, who first appeared in the BBC animated web movie Ghosts of Albion: Legacy.",4,4
394,original,"In 2006 , he co-starred in the independent film Manhattan Minute .",,
394,cand_a,"In 2006 , he acted in the independent film Manhattan Minute .",4,3
394,cand_b,"In 2006, he acted with others in the independent film Manhattan Minute.",4,4
374,original,"With 27.7 % of the daily crude oil production halted due to the depression , oil prices rose further after days of increasing levels , and on September 20 reached a record rate of over $ 84 per barrel .",,
374,cand_a,"With 27.7 % of the daily crude oil production halted due to the inadequacy , oil prices rose further after days of increasing levels , and on September 20 reached a record rate of over $ 84 per barrel .",3,3
374,cand_b,"With 27.7% of daily crude oil production stopped because of the depression, oil prices kept rising for days and on September 20 reached a record of over $84 per barrel.",4,4
76,original,"Originally made for the Apple II , they were later ported to other platforms .",,
76,cand_a,"At first made for the Apple II , they were later platforms .",1,1
76,cand_b,"They were first made for the Apple II, then later moved to other platforms.",4,4
271,original,"Helene was a long-lived Cape Verde-type hurricane that formed in the extreme southeastern part of the North Atlantic Ocean , peaking as a Category 3 hurricane on the Saffir-Simpson hurricane scale as it traversed the central Atlantic .",,
271,cand_a,"Helene was a long-lived Cape Verde-type hurricane that began in the very southeastern part of the North Atlantic Ocean, becoming at its strongest a Category 3 hurricane on the   Saffir-Simpson hurricane scale as it crossed the central Atlantic .",3,3
271,cand_b,Helene was a long-lasting Cape Verde hurricane that formed in the far southeastern North Atlantic Ocean and reached Category 3 strength as it moved across the central Atlantic.,4,4
242,original,The color 's name is derived from the typical color of the beverage champagne .,,
242,cand_a,The color's name comes from the usual color of the drink champagne.,4,4
242,cand_b,The color is named after the usual color of champagne.,5,4
199,original,"Charts "" Mobile "" was released only in Australia and New Zealand .",,
199,cand_a,"Charts""'Mobile"" was released only in Australia and New Zealand.",3,3
199,cand_b,"Charts ""Mobile"" was released only in Australia and New Zealand.",3,3
132,original,He even envisioned centralized air conditioning that could cool entire cities .,,
132,cand_a,He envisioned centralized air conditioning that could cool entire cities.,3,3
132,cand_b,He even imagined central air conditioning that could cool whole cities.,4,4
425,original,"Working extensively with the BBC , Ross has presented The Film programme since 1997 , his own chat show , Friday Night with Jonathan Ross since 2001 , and a radio show on BBC Radio 2 beginning in 1999 .",,
425,cand_a,"Ross worked for a great extent with BBC,he presented The Film programme since 1997,his own chat show,Friday Night with Jonathan Ross since 2001,and a radio show beginning in 1999.",3,2
425,cand_b,"Ross has worked a lot with the BBC and has hosted The Film programme since 1997, his own chat show Friday Night with Jonathan Ross since 2001, and a BBC Radio 2 radio show since 1999.",4,4
540,original,"Grime is a genre of urban music which first emerged in East London , England in the early 2000s , primarily a development of UK garage , dancehall , and hip hop .",,
540,cand_a,"During the first quarter of year 2000, Grime took off to represent a genre of urban music from East London, England basically as a modified version to  UK garage, dancehall, and hip hop.",2,2
540,cand_b,"Grime is a type of urban music that started in East London, England in the early 2000s, mainly based on UK garage, dancehall, and hip hop.",4,4
346,original,Leicester is officially the largest city in the region and the largest conurbation is the Nottingham Urban Area .,,
346,cand_a,Leicester is officially the largest city in the region and the largest conurbation is the Nottingham Urban Area.,3,3
346,cand_b,"Leicester is officially the biggest city in the region, and the biggest urban area is the Nottingham Urban Area.",4,4
42,original,"Article 166 was meant to control the possession of arms , but it was used to target Armenians by restricting them to possess arms .",,
42,cand_a,"Article 166 was meant to control the possession of arms, but it was used to target Armenians by restricting their ability to possess arms.",3,3
42,cand_b,"Article 166 was meant to control who could have weapons, but it was used to target Armenians by limiting their right to have weapons.",5,4
211,original,"In the 1935 – 36 season , Thompson became the first goaltender to get an assist by intentionally passing the puck with his stick to a fellow player .",,
211,cand_a,"In the 1935 – 36 season , Thompson became the first goaltender to get an assist by purposefully passing the puck with his stick to a teammate .",3,3
211,cand_b,"In the 1935–36 season, Thompson became the first goalie to earn an assist by purposely passing the puck with his stick to a teammate.",5,4
18,original,"Hardy also cites "" burn out "" and the need for time off as reasons for leaving WWE .",,
18,cand_a,"Hardy cites ""burn out"" and the need for time off as reasons for leaving WWE.",3,3
18,cand_b,Hardy also says he left WWE because he was burned out and needed time off.,4,4
52,original,The Congress of Vienna recognized it as a grand duchy and member of the German Confederation .,,
52,cand_a,The Congress of Vienna viewed it as a grand duchy and member of the German Confederation .,4,3
52,cand_b,The Congress of Vienna recognized it as a grand duchy and a member of the German Confederation.,3,3
489,original,Hurricane Epsilon was only the sixth ever Atlantic hurricane recorded in December .,,
489,cand_a,Hurricane Epsilon was only the sixth ever Atlantic hurricane that happened in December.,3,3
489,cand_b,Hurricane Epsilon was only the sixth Atlantic hurricane ever recorded in December.,4,4
534,original,It is often useful to avoid words with strong connotations ( especially disparaging ones ) when striving to achieve a neutral point of view .,,
534,cand_a,It is often best not to use words with strong meanings ( especially rude ones ) when trying to seem neutral.,3,2
534,cand_b,It is often helpful to avoid words with strong meanings (especially insulting ones) when trying to stay neutral.,4,4
